GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0006464	cellular protein modification process	19	5	2.44	0.4416	1
GO:1901137	carbohydrate derivative biosynthetic pro...	9	2	1.15	0.4433	1
GO:0006644	phospholipid metabolic process	5	1	0.64	0.4461	1
GO:0016311	dephosphorylation	5	1	0.64	0.4474	1
GO:0034654	nucleobase-containing compound biosynthe...	13	1	1.67	0.4486	1
GO:0006950	response to stress	26	4	3.33	0.4518	1
GO:1901657	glycosyl compound metabolic process	3	1	0.38	0.4893	1
GO:0009987	cellular process	191	25	24.49	0.4969	1
GO:0016052	carbohydrate catabolic process	5	1	0.64	0.4996	1
GO:1901135	carbohydrate derivative metabolic proces...	16	3	2.05	0.5017	1
GO:0044262	cellular carbohydrate metabolic process	6	1	0.77	0.5129	1
GO:0032774	RNA biosynthetic process	6	1	0.77	0.5348	1
GO:0006397	mRNA processing	9	1	1.15	0.5625	1
GO:0008610	lipid biosynthetic process	15	3	1.92	0.5736	1
GO:0050896	response to stimulus	39	5	5	0.5795	1
GO:0008652	cellular amino acid biosynthetic process	4	1	0.51	0.5817	1
GO:0044255	cellular lipid metabolic process	14	2	1.79	0.5950	1
GO:0006979	response to oxidative stress	5	1	0.64	0.5997	1
GO:0016071	mRNA metabolic process	9	1	1.15	0.6000	1
GO:0006650	glycerophospholipid metabolic process	3	1	0.38	0.6000	1
GO:0071840	cellular component organization or bioge...	15	2	1.92	0.6127	1
GO:1901576	organic substance biosynthetic process	38	6	4.87	0.6224	1
GO:0035556	intracellular signal transduction	5	1	0.64	0.6250	1
GO:0034613	cellular protein localization	7	3	0.9	0.6250	1
GO:0019684	photosynthesis, light reaction	27	2	3.46	0.6257	1
GO:0015031	protein transport	8	3	1.03	0.6267	1
GO:0036211	protein modification process	19	5	2.44	0.6290	1
GO:1901575	organic substance catabolic process	12	2	1.54	0.6315	1
GO:0018193	peptidyl-amino acid modification	7	2	0.9	0.6339	1
GO:0016070	RNA metabolic process	25	2	3.21	0.6452	1
GO:0009765	photosynthesis, light harvesting	26	2	3.33	0.6552	1
GO:0000398	mRNA splicing, via spliceosome	6	1	0.77	0.6667	1
GO:0005984	disaccharide metabolic process	4	1	0.51	0.6667	1
GO:0003333	amino acid transmembrane transport	5	2	0.64	0.6667	1
GO:0023052	signaling	8	1	1.03	0.6696	1
GO:0008299	isoprenoid biosynthetic process	6	1	0.77	0.6718	1
GO:0007165	signal transduction	8	1	1.03	0.6818	1
GO:0006720	isoprenoid metabolic process	6	1	0.77	0.6923	1
GO:0006793	phosphorus metabolic process	20	2	2.56	0.6995	1
GO:1901566	organonitrogen compound biosynthetic pro...	16	3	2.05	0.7013	1
GO:0006470	protein dephosphorylation	4	1	0.51	0.7183	1
GO:0044281	small molecule metabolic process	40	4	5.13	0.7193	1
GO:0008104	protein localization	8	3	1.03	0.7212	1
GO:0044267	cellular protein metabolic process	22	5	2.82	0.7277	1
GO:0005976	polysaccharide metabolic process	7	1	0.9	0.7293	1
GO:0022607	cellular component assembly	7	1	0.9	0.7333	1
GO:0015849	organic acid transport	6	2	0.77	0.7387	1
GO:0016043	cellular component organization	13	2	1.67	0.7429	1
GO:0006869	lipid transport	3	1	0.38	0.7574	1
GO:0044237	cellular metabolic process	133	15	17.05	0.7582	1
GO:0006865	amino acid transport	6	2	0.77	0.7622	1
GO:0007154	cell communication	10	1	1.28	0.7630	1
GO:0006811	ion transport	12	2	1.54	0.7769	1
GO:0010876	lipid localization	3	1	0.38	0.7879	1
GO:0000160	phosphorelay signal transduction system	4	1	0.51	0.8000	1
GO:1901565	organonitrogen compound catabolic proces...	6	1	0.77	0.8018	1
GO:0018904	ether metabolic process	9	1	1.15	0.8063	1
GO:0050794	regulation of cellular process	12	1	1.54	0.8170	1
GO:0090407	organophosphate biosynthetic process	10	1	1.28	0.8183	1
GO:0019438	aromatic compound biosynthetic process	16	1	2.05	0.8251	1
GO:0006396	RNA processing	16	1	2.05	0.8254	1
GO:0005975	carbohydrate metabolic process	26	3	3.33	0.8278	1
GO:0051716	cellular response to stimulus	12	1	1.54	0.8282	1
GO:0044283	small molecule biosynthetic process	10	1	1.28	0.8312	1
GO:0018130	heterocycle biosynthetic process	17	1	2.18	0.8408	1
GO:0016053	organic acid biosynthetic process	8	1	1.03	0.8462	1
GO:0044085	cellular component biogenesis	9	1	1.15	0.8571	1
GO:0044271	cellular nitrogen compound biosynthetic ...	18	1	2.31	0.8599	1
GO:0015979	photosynthesis	29	2	3.72	0.8854	1
GO:0009057	macromolecule catabolic process	10	1	1.28	0.8913	1
GO:0050789	regulation of biological process	16	1	2.05	0.8933	1
GO:1901362	organic cyclic compound biosynthetic pro...	19	1	2.44	0.9034	1
GO:0046394	carboxylic acid biosynthetic process	8	1	1.03	0.9091	1
GO:0030001	metal ion transport	8	1	1.03	0.9091	1
GO:0008152	metabolic process	317	37	40.64	0.9112	1
GO:0006091	generation of precursor metabolites and ...	32	2	4.1	0.9201	1
GO:0065007	biological regulation	19	1	2.44	0.9306	1
GO:1901605	alpha-amino acid metabolic process	4	1	0.51	0.9333	1
GO:0019637	organophosphate metabolic process	15	1	1.92	0.9388	1
GO:0010467	gene expression	25	2	3.21	0.9771	1
GO:0090304	nucleic acid metabolic process	31	2	3.97	0.9834	1
GO:0006725	cellular aromatic compound metabolic pro...	47	2	6.03	0.9903	1
GO:0046483	heterocycle metabolic process	49	2	6.28	0.9930	1
GO:0006139	nucleobase-containing compound metabolic...	44	2	5.64	0.9986	1
GO:0034641	cellular nitrogen compound metabolic pro...	50	2	6.41	0.9989	1
GO:1901360	organic cyclic compound metabolic proces...	51	2	6.54	0.9997	1
GO:0006662	glycerol ether metabolic process	9	1	1.15	1.0000	1
GO:0006796	phosphate-containing compound metabolic ...	20	2	2.56	1.0000	1
GO:0000375	RNA splicing, via transesterification re...	6	1	0.77	1.0000	1
GO:0000377	RNA splicing, via transesterification re...	6	1	0.77	1.0000	1
GO:0019752	carboxylic acid metabolic process	12	2	1.54	1.0000	1
GO:0046488	phosphatidylinositol metabolic process	3	1	0.38	1.0000	1
GO:0006810	transport	58	12	7.44	1.0000	1
GO:0006812	cation transport	12	2	1.54	1.0000	1
GO:0043436	oxoacid metabolic process	13	3	1.67	1.0000	1
GO:0018208	peptidyl-proline modification	7	2	0.9	1.0000	1
GO:0000413	protein peptidyl-prolyl isomerization	7	2	0.9	1.0000	1
GO:0005985	sucrose metabolic process	4	1	0.51	1.0000	1
GO:0006351	transcription, DNA-templated	6	1	0.77	1.0000	1
GO:0008150	biological_process	429	55	55	1.0000	1
GO:1905039	carboxylic acid transmembrane transport	5	2	0.64	1.0000	1
GO:0051234	establishment of localization	58	12	7.44	1.0000	1
GO:0000003	reproduction	3	0	0.38	1.0000	1
GO:0001522	pseudouridine synthesis	3	0	0.38	1.0000	1
GO:0005996	monosaccharide metabolic process	4	0	0.51	1.0000	1
GO:0006006	glucose metabolic process	4	0	0.51	1.0000	1
GO:0006099	tricarboxylic acid cycle	3	0	0.38	1.0000	1
GO:0006163	purine nucleotide metabolic process	10	0	1.28	1.0000	1
GO:0006164	purine nucleotide biosynthetic process	7	0	0.9	1.0000	1
GO:0006259	DNA metabolic process	6	0	0.77	1.0000	1
GO:0006281	DNA repair	4	0	0.51	1.0000	1
GO:0006399	tRNA metabolic process	4	0	0.51	1.0000	1
GO:0006511	ubiquitin-dependent protein catabolic pr...	3	0	0.38	1.0000	1
GO:0006576	cellular biogenic amine metabolic proces...	3	0	0.38	1.0000	1
GO:0006631	fatty acid metabolic process	4	0	0.51	1.0000	1
GO:0006633	fatty acid biosynthetic process	4	0	0.51	1.0000	1
GO:0006753	nucleoside phosphate metabolic process	10	0	1.28	1.0000	1
GO:0006754	ATP biosynthetic process	7	0	0.9	1.0000	1
GO:0006952	defense response	3	0	0.38	1.0000	1
GO:0006974	cellular response to DNA damage stimulus	4	0	0.51	1.0000	1
GO:0007010	cytoskeleton organization	5	0	0.64	1.0000	1
GO:0007049	cell cycle	3	0	0.38	1.0000	1
GO:0008033	tRNA processing	4	0	0.51	1.0000	1
GO:0009060	aerobic respiration	3	0	0.38	1.0000	1
GO:0009117	nucleotide metabolic process	10	0	1.28	1.0000	1
GO:0009141	nucleoside triphosphate metabolic proces...	7	0	0.9	1.0000	1
GO:0009142	nucleoside triphosphate biosynthetic pro...	7	0	0.9	1.0000	1
GO:0009144	purine nucleoside triphosphate metabolic...	7	0	0.9	1.0000	1
GO:0009145	purine nucleoside triphosphate biosynthe...	7	0	0.9	1.0000	1
GO:0009150	purine ribonucleotide metabolic process	10	0	1.28	1.0000	1
GO:0009152	purine ribonucleotide biosynthetic proce...	7	0	0.9	1.0000	1
GO:0009165	nucleotide biosynthetic process	7	0	0.9	1.0000	1
GO:0009199	ribonucleoside triphosphate metabolic pr...	7	0	0.9	1.0000	1
GO:0009201	ribonucleoside triphosphate biosynthetic...	7	0	0.9	1.0000	1
GO:0009205	purine ribonucleoside triphosphate metab...	7	0	0.9	1.0000	1
GO:0009206	purine ribonucleoside triphosphate biosy...	7	0	0.9	1.0000	1
GO:0009259	ribonucleotide metabolic process	10	0	1.28	1.0000	1
GO:0009260	ribonucleotide biosynthetic process	7	0	0.9	1.0000	1
GO:0009308	amine metabolic process	3	0	0.38	1.0000	1
GO:0009309	amine biosynthetic process	3	0	0.38	1.0000	1
GO:0009451	RNA modification	4	0	0.51	1.0000	1
GO:0009628	response to abiotic stimulus	3	0	0.38	1.0000	1
GO:0009719	response to endogenous stimulus	3	0	0.38	1.0000	1
GO:0009725	response to hormone	3	0	0.38	1.0000	1
GO:0009733	response to auxin	3	0	0.38	1.0000	1
GO:0009892	negative regulation of metabolic process	3	0	0.38	1.0000	1
GO:0010033	response to organic substance	3	0	0.38	1.0000	1
GO:0010035	response to inorganic substance	3	0	0.38	1.0000	1
GO:0010468	regulation of gene expression	5	0	0.64	1.0000	1
GO:0010605	negative regulation of macromolecule met...	3	0	0.38	1.0000	1
GO:0010629	negative regulation of gene expression	3	0	0.38	1.0000	1
GO:0015969	guanosine tetraphosphate metabolic proce...	3	0	0.38	1.0000	1
GO:0015980	energy derivation by oxidation of organi...	5	0	0.64	1.0000	1
GO:0015986	proton motive force-driven ATP synthesis	7	0	0.9	1.0000	1
GO:0019222	regulation of metabolic process	6	0	0.77	1.0000	1
GO:0019318	hexose metabolic process	4	0	0.51	1.0000	1
GO:0019693	ribose phosphate metabolic process	10	0	1.28	1.0000	1
GO:0019725	cellular homeostasis	4	0	0.51	1.0000	1
GO:0019941	modification-dependent protein catabolic...	3	0	0.38	1.0000	1
GO:0022414	reproductive process	3	0	0.38	1.0000	1
GO:0030163	protein catabolic process	4	0	0.51	1.0000	1
GO:0031047	gene silencing by RNA	3	0	0.38	1.0000	1
GO:0031323	regulation of cellular metabolic process	3	0	0.38	1.0000	1
GO:0032501	multicellular organismal process	3	0	0.38	1.0000	1
GO:0032787	monocarboxylic acid metabolic process	5	0	0.64	1.0000	1
GO:0033554	cellular response to stress	4	0	0.51	1.0000	1
GO:0033865	nucleoside bisphosphate metabolic proces...	3	0	0.38	1.0000	1
GO:0033875	ribonucleoside bisphosphate metabolic pr...	3	0	0.38	1.0000	1
GO:0034032	purine nucleoside bisphosphate metabolic...	3	0	0.38	1.0000	1
GO:0034035	purine ribonucleoside bisphosphate metab...	3	0	0.38	1.0000	1
GO:0034470	ncRNA processing	5	0	0.64	1.0000	1
GO:0034660	ncRNA metabolic process	5	0	0.64	1.0000	1
GO:0042221	response to chemical	6	0	0.77	1.0000	1
GO:0042401	cellular biogenic amine biosynthetic pro...	3	0	0.38	1.0000	1
GO:0042592	homeostatic process	4	0	0.51	1.0000	1
GO:0043632	modification-dependent macromolecule cat...	3	0	0.38	1.0000	1
GO:0044106	cellular amine metabolic process	3	0	0.38	1.0000	1
GO:0044257	cellular protein catabolic process	3	0	0.38	1.0000	1
GO:0044265	cellular macromolecule catabolic process	4	0	0.51	1.0000	1
GO:0045333	cellular respiration	3	0	0.38	1.0000	1
GO:0046034	ATP metabolic process	7	0	0.9	1.0000	1
GO:0046390	ribose phosphate biosynthetic process	7	0	0.9	1.0000	1
GO:0048519	negative regulation of biological proces...	3	0	0.38	1.0000	1
GO:0048878	chemical homeostasis	3	0	0.38	1.0000	1
GO:0051171	regulation of nitrogen compound metaboli...	3	0	0.38	1.0000	1
GO:0051603	proteolysis involved in cellular protein...	3	0	0.38	1.0000	1
GO:0055082	cellular chemical homeostasis	3	0	0.38	1.0000	1
GO:0055086	nucleobase-containing small molecule met...	12	0	1.54	1.0000	1
GO:0060255	regulation of macromolecule metabolic pr...	6	0	0.77	1.0000	1
GO:0065008	regulation of biological quality	4	0	0.51	1.0000	1
GO:0072330	monocarboxylic acid biosynthetic process	4	0	0.51	1.0000	1
GO:0072521	purine-containing compound metabolic pro...	10	0	1.28	1.0000	1
GO:0072522	purine-containing compound biosynthetic ...	7	0	0.9	1.0000	1
GO:0080090	regulation of primary metabolic process	3	0	0.38	1.0000	1
GO:1901293	nucleoside phosphate biosynthetic proces...	7	0	0.9	1.0000	1
GO:1901607	alpha-amino acid biosynthetic process	3	0	0.38	1.0000	1
GO:1901700	response to oxygen-containing compound	3	0	0.38	1.0000	1
