GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0043412	macromolecule modification	24	1	4.42	0.899	1
GO:0006139	nucleobase-containing compound metabolic...	44	4	8.1	0.901	1
GO:0006950	response to stress	26	2	4.79	0.901	1
GO:0010467	gene expression	25	1	4.6	0.911	1
GO:0006811	ion transport	12	1	2.21	0.922	1
GO:0071705	nitrogen compound transport	14	1	2.58	0.952	1
GO:1901360	organic cyclic compound metabolic proces...	51	4	9.39	0.953	1
GO:0050896	response to stimulus	39	4	7.18	0.953	1
GO:0071702	organic substance transport	17	1	3.13	0.979	1
GO:0090304	nucleic acid metabolic process	31	1	5.71	0.981	1
GO:0043170	macromolecule metabolic process	78	6	14.36	0.988	1
GO:0044238	primary metabolic process	152	21	27.99	0.997	1
GO:0006725	cellular aromatic compound metabolic pro...	47	4	8.66	0.999	1
GO:0006807	nitrogen compound metabolic process	92	9	16.94	0.999	1
GO:0071704	organic substance metabolic process	166	22	30.57	0.999	1
GO:0046483	heterocycle metabolic process	49	4	9.02	1.000	1
GO:0034641	cellular nitrogen compound metabolic pro...	50	4	9.21	1.000	1
GO:0019318	hexose metabolic process	4	2	0.74	1.000	1
GO:0009201	ribonucleoside triphosphate biosynthetic...	7	3	1.29	1.000	1
GO:0006662	glycerol ether metabolic process	9	1	1.66	1.000	1
GO:0006796	phosphate-containing compound metabolic ...	20	3	3.68	1.000	1
GO:0009205	purine ribonucleoside triphosphate metab...	7	3	1.29	1.000	1
GO:0009206	purine ribonucleoside triphosphate biosy...	7	3	1.29	1.000	1
GO:0009199	ribonucleoside triphosphate metabolic pr...	7	3	1.29	1.000	1
GO:0009117	nucleotide metabolic process	10	3	1.84	1.000	1
GO:0009142	nucleoside triphosphate biosynthetic pro...	7	3	1.29	1.000	1
GO:0006810	transport	58	10	10.68	1.000	1
GO:0009144	purine nucleoside triphosphate metabolic...	7	3	1.29	1.000	1
GO:0009145	purine nucleoside triphosphate biosynthe...	7	3	1.29	1.000	1
GO:0006812	cation transport	12	1	2.21	1.000	1
GO:0006006	glucose metabolic process	4	2	0.74	1.000	1
GO:0043436	oxoacid metabolic process	13	3	2.39	1.000	1
GO:0006754	ATP biosynthetic process	7	3	1.29	1.000	1
GO:0009150	purine ribonucleotide metabolic process	10	3	1.84	1.000	1
GO:0008150	biological_process	429	79	79	1.000	1
GO:0009259	ribonucleotide metabolic process	10	3	1.84	1.000	1
GO:1905039	carboxylic acid transmembrane transport	5	1	0.92	1.000	1
GO:0015986	proton motive force-driven ATP synthesis	7	3	1.29	1.000	1
GO:0051234	establishment of localization	58	10	10.68	1.000	1
GO:0006163	purine nucleotide metabolic process	10	3	1.84	1.000	1
GO:0000003	reproduction	3	0	0.55	1.000	1
GO:0000375	RNA splicing, via transesterification re...	6	0	1.1	1.000	1
GO:0000377	RNA splicing, via transesterification re...	6	0	1.1	1.000	1
GO:0000398	mRNA splicing, via spliceosome	6	0	1.1	1.000	1
GO:0000413	protein peptidyl-prolyl isomerization	7	0	1.29	1.000	1
GO:0001522	pseudouridine synthesis	3	0	0.55	1.000	1
GO:0005984	disaccharide metabolic process	4	0	0.74	1.000	1
GO:0005985	sucrose metabolic process	4	0	0.74	1.000	1
GO:0006099	tricarboxylic acid cycle	3	0	0.55	1.000	1
GO:0006259	DNA metabolic process	6	0	1.1	1.000	1
GO:0006281	DNA repair	4	0	0.74	1.000	1
GO:0006351	transcription, DNA-templated	6	0	1.1	1.000	1
GO:0006397	mRNA processing	9	0	1.66	1.000	1
GO:0006464	cellular protein modification process	19	0	3.5	1.000	1
GO:0006470	protein dephosphorylation	4	0	0.74	1.000	1
GO:0006511	ubiquitin-dependent protein catabolic pr...	3	0	0.55	1.000	1
GO:0006576	cellular biogenic amine metabolic proces...	3	0	0.55	1.000	1
GO:0006644	phospholipid metabolic process	5	0	0.92	1.000	1
GO:0006650	glycerophospholipid metabolic process	3	0	0.55	1.000	1
GO:0006790	sulfur compound metabolic process	6	0	1.1	1.000	1
GO:0006869	lipid transport	3	0	0.55	1.000	1
GO:0006886	intracellular protein transport	7	0	1.29	1.000	1
GO:0006952	defense response	3	0	0.55	1.000	1
GO:0006974	cellular response to DNA damage stimulus	4	0	0.74	1.000	1
GO:0006979	response to oxidative stress	5	0	0.92	1.000	1
GO:0007049	cell cycle	3	0	0.55	1.000	1
GO:0008104	protein localization	8	0	1.47	1.000	1
GO:0008380	RNA splicing	6	0	1.1	1.000	1
GO:0008654	phospholipid biosynthetic process	3	0	0.55	1.000	1
GO:0009059	macromolecule biosynthetic process	10	0	1.84	1.000	1
GO:0009060	aerobic respiration	3	0	0.55	1.000	1
GO:0009308	amine metabolic process	3	0	0.55	1.000	1
GO:0009309	amine biosynthetic process	3	0	0.55	1.000	1
GO:0009311	oligosaccharide metabolic process	4	0	0.74	1.000	1
GO:0009719	response to endogenous stimulus	3	0	0.55	1.000	1
GO:0009725	response to hormone	3	0	0.55	1.000	1
GO:0009733	response to auxin	3	0	0.55	1.000	1
GO:0009892	negative regulation of metabolic process	3	0	0.55	1.000	1
GO:0010033	response to organic substance	3	0	0.55	1.000	1
GO:0010468	regulation of gene expression	5	0	0.92	1.000	1
GO:0010605	negative regulation of macromolecule met...	3	0	0.55	1.000	1
GO:0010629	negative regulation of gene expression	3	0	0.55	1.000	1
GO:0010876	lipid localization	3	0	0.55	1.000	1
GO:0015031	protein transport	8	0	1.47	1.000	1
GO:0015969	guanosine tetraphosphate metabolic proce...	3	0	0.55	1.000	1
GO:0015980	energy derivation by oxidation of organi...	5	0	0.92	1.000	1
GO:0016071	mRNA metabolic process	9	0	1.66	1.000	1
GO:0016311	dephosphorylation	5	0	0.92	1.000	1
GO:0018193	peptidyl-amino acid modification	7	0	1.29	1.000	1
GO:0018208	peptidyl-proline modification	7	0	1.29	1.000	1
GO:0019222	regulation of metabolic process	6	0	1.1	1.000	1
GO:0019725	cellular homeostasis	4	0	0.74	1.000	1
GO:0019941	modification-dependent protein catabolic...	3	0	0.55	1.000	1
GO:0022414	reproductive process	3	0	0.55	1.000	1
GO:0031047	gene silencing by RNA	3	0	0.55	1.000	1
GO:0031323	regulation of cellular metabolic process	3	0	0.55	1.000	1
GO:0032501	multicellular organismal process	3	0	0.55	1.000	1
GO:0032774	RNA biosynthetic process	6	0	1.1	1.000	1
GO:0033036	macromolecule localization	11	0	2.03	1.000	1
GO:0033554	cellular response to stress	4	0	0.74	1.000	1
GO:0033865	nucleoside bisphosphate metabolic proces...	3	0	0.55	1.000	1
GO:0033875	ribonucleoside bisphosphate metabolic pr...	3	0	0.55	1.000	1
GO:0034032	purine nucleoside bisphosphate metabolic...	3	0	0.55	1.000	1
GO:0034035	purine ribonucleoside bisphosphate metab...	3	0	0.55	1.000	1
GO:0034613	cellular protein localization	7	0	1.29	1.000	1
GO:0034645	cellular macromolecule biosynthetic proc...	4	0	0.74	1.000	1
GO:0036211	protein modification process	19	0	3.5	1.000	1
GO:0042401	cellular biogenic amine biosynthetic pro...	3	0	0.55	1.000	1
GO:0042592	homeostatic process	4	0	0.74	1.000	1
GO:0043632	modification-dependent macromolecule cat...	3	0	0.55	1.000	1
GO:0044106	cellular amine metabolic process	3	0	0.55	1.000	1
GO:0044248	cellular catabolic process	7	0	1.29	1.000	1
GO:0044257	cellular protein catabolic process	3	0	0.55	1.000	1
GO:0044260	cellular macromolecule metabolic process	30	0	5.52	1.000	1
GO:0044262	cellular carbohydrate metabolic process	6	0	1.1	1.000	1
GO:0044265	cellular macromolecule catabolic process	4	0	0.74	1.000	1
GO:0044267	cellular protein metabolic process	22	0	4.05	1.000	1
GO:0045184	establishment of protein localization	8	0	1.47	1.000	1
GO:0045333	cellular respiration	3	0	0.55	1.000	1
GO:0046486	glycerolipid metabolic process	3	0	0.55	1.000	1
GO:0046488	phosphatidylinositol metabolic process	3	0	0.55	1.000	1
GO:0046907	intracellular transport	9	0	1.66	1.000	1
GO:0048519	negative regulation of biological proces...	3	0	0.55	1.000	1
GO:0048878	chemical homeostasis	3	0	0.55	1.000	1
GO:0051171	regulation of nitrogen compound metaboli...	3	0	0.55	1.000	1
GO:0051603	proteolysis involved in cellular protein...	3	0	0.55	1.000	1
GO:0051641	cellular localization	9	0	1.66	1.000	1
GO:0051649	establishment of localization in cell	9	0	1.66	1.000	1
GO:0055082	cellular chemical homeostasis	3	0	0.55	1.000	1
GO:0060255	regulation of macromolecule metabolic pr...	6	0	1.1	1.000	1
GO:0065008	regulation of biological quality	4	0	0.74	1.000	1
GO:0070727	cellular macromolecule localization	7	0	1.29	1.000	1
GO:0080090	regulation of primary metabolic process	3	0	0.55	1.000	1
GO:0097659	nucleic acid-templated transcription	6	0	1.1	1.000	1
GO:1901657	glycosyl compound metabolic process	3	0	0.55	1.000	1
