GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0016798	hydrolase activity, acting on glycosyl b...	40	3	4.12	0.8329	1
GO:0008233	peptidase activity	64	6	6.59	0.8411	1
GO:0097159	organic cyclic compound binding	408	26	41.98	0.8458	1
GO:1901363	heterocyclic compound binding	408	26	41.98	0.8458	1
GO:0070001	aspartic-type peptidase activity	17	1	1.75	0.8568	1
GO:0140657	ATP-dependent activity	18	1	1.85	0.8597	1
GO:0032555	purine ribonucleotide binding	123	6	12.66	0.8628	1
GO:0016772	transferase activity, transferring phosp...	220	31	22.64	0.8650	1
GO:0017111	nucleoside-triphosphatase activity	13	1	1.34	0.8667	1
GO:0003777	microtubule motor activity	14	1	1.44	0.8788	1
GO:0005524	ATP binding	79	3	8.13	0.8797	1
GO:0003723	RNA binding	29	1	2.98	0.8826	1
GO:0005198	structural molecule activity	48	3	4.94	0.8867	1
GO:0004190	aspartic-type endopeptidase activity	17	1	1.75	0.8889	1
GO:0019787	ubiquitin-like protein transferase activ...	14	1	1.44	0.8896	1
GO:0017076	purine nucleotide binding	123	6	12.66	0.8982	1
GO:0008080	N-acetyltransferase activity	9	1	0.93	0.9000	1
GO:0032553	ribonucleotide binding	126	6	12.96	0.9100	1
GO:0016407	acetyltransferase activity	9	1	0.93	0.9178	1
GO:0097367	carbohydrate derivative binding	128	6	13.17	0.9227	1
GO:0000166	nucleotide binding	182	11	18.73	0.9399	1
GO:0016410	N-acyltransferase activity	10	1	1.03	0.9435	1
GO:0016787	hydrolase activity	156	16	16.05	0.9475	1
GO:0046873	metal ion transmembrane transporter acti...	15	1	1.54	0.9585	1
GO:0016747	acyltransferase activity, transferring g...	25	5	2.57	0.9661	1
GO:0035639	purine ribonucleoside triphosphate bindi...	97	3	9.98	0.9823	1
GO:0043168	anion binding	127	6	13.07	0.9959	1
GO:0003735	structural constituent of ribosome	42	1	4.32	0.9988	1
GO:0005488	binding	914	66	94.05	1.0000	1
GO:0003674	molecular_function	1934	199	199	1.0000	1
GO:0016462	pyrophosphatase activity	15	1	1.54	1.0000	1
GO:0046872	metal ion binding	102	14	10.5	1.0000	1
GO:0015267	channel activity	15	3	1.54	1.0000	1
GO:0016791	phosphatase activity	4	1	0.41	1.0000	1
GO:0004842	ubiquitin-protein transferase activity	14	1	1.44	1.0000	1
GO:0004332	fructose-bisphosphate aldolase activity	4	3	0.41	1.0000	1
GO:0016818	hydrolase activity, acting on acid anhyd...	15	1	1.54	1.0000	1
GO:0008135	translation factor activity, RNA binding	13	4	1.34	1.0000	1
GO:0008168	methyltransferase activity	18	4	1.85	1.0000	1
GO:0003924	GTPase activity	13	1	1.34	1.0000	1
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	40	3	4.12	1.0000	1
GO:0016836	hydro-lyase activity	4	2	0.41	1.0000	1
GO:0004373	glycogen (starch) synthase activity	4	1	0.41	1.0000	1
GO:0000049	tRNA binding	3	0	0.31	1.0000	1
GO:0000155	phosphorelay sensor kinase activity	5	0	0.51	1.0000	1
GO:0003682	chromatin binding	3	0	0.31	1.0000	1
GO:0003712	transcription coregulator activity	3	0	0.31	1.0000	1
GO:0003743	translation initiation factor activity	5	0	0.51	1.0000	1
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogen...	7	0	0.72	1.0000	1
GO:0004345	glucose-6-phosphate dehydrogenase activi...	3	0	0.31	1.0000	1
GO:0004478	methionine adenosyltransferase activity	3	0	0.31	1.0000	1
GO:0004518	nuclease activity	3	0	0.31	1.0000	1
GO:0004650	polygalacturonase activity	3	0	0.31	1.0000	1
GO:0004673	protein histidine kinase activity	5	0	0.51	1.0000	1
GO:0004784	superoxide dismutase activity	3	0	0.31	1.0000	1
GO:0004857	enzyme inhibitor activity	20	0	2.06	1.0000	1
GO:0004866	endopeptidase inhibitor activity	6	0	0.62	1.0000	1
GO:0004888	transmembrane signaling receptor activit...	3	0	0.31	1.0000	1
GO:0004970	ionotropic glutamate receptor activity	3	0	0.31	1.0000	1
GO:0005096	GTPase activator activity	3	0	0.31	1.0000	1
GO:0005230	extracellular ligand-gated ion channel a...	3	0	0.31	1.0000	1
GO:0005507	copper ion binding	5	0	0.51	1.0000	1
GO:0005516	calmodulin binding	4	0	0.41	1.0000	1
GO:0005525	GTP binding	18	0	1.85	1.0000	1
GO:0005543	phospholipid binding	7	0	0.72	1.0000	1
GO:0008047	enzyme activator activity	3	0	0.31	1.0000	1
GO:0008066	glutamate receptor activity	3	0	0.31	1.0000	1
GO:0008171	O-methyltransferase activity	3	0	0.31	1.0000	1
GO:0008238	exopeptidase activity	4	0	0.41	1.0000	1
GO:0008271	secondary active sulfate transmembrane t...	3	0	0.31	1.0000	1
GO:0008289	lipid binding	9	0	0.93	1.0000	1
GO:0010181	FMN binding	3	0	0.31	1.0000	1
GO:0015035	protein-disulfide reductase activity	3	0	0.31	1.0000	1
GO:0015036	disulfide oxidoreductase activity	3	0	0.31	1.0000	1
GO:0015078	proton transmembrane transporter activit...	6	0	0.62	1.0000	1
GO:0015079	potassium ion transmembrane transporter ...	7	0	0.72	1.0000	1
GO:0015116	sulfate transmembrane transporter activi...	3	0	0.31	1.0000	1
GO:0015276	ligand-gated ion channel activity	3	0	0.31	1.0000	1
GO:0015291	secondary active transmembrane transport...	7	0	0.72	1.0000	1
GO:0015399	primary active transmembrane transporter...	4	0	0.41	1.0000	1
GO:0015453	oxidoreduction-driven active transmembra...	4	0	0.41	1.0000	1
GO:0016229	steroid dehydrogenase activity	7	0	0.72	1.0000	1
GO:0016614	oxidoreductase activity, acting on CH-OH...	16	0	1.65	1.0000	1
GO:0016616	oxidoreductase activity, acting on the C...	14	0	1.44	1.0000	1
GO:0016628	oxidoreductase activity, acting on the C...	3	0	0.31	1.0000	1
GO:0016651	oxidoreductase activity, acting on NAD(P...	3	0	0.31	1.0000	1
GO:0016667	oxidoreductase activity, acting on a sul...	5	0	0.51	1.0000	1
GO:0016668	oxidoreductase activity, acting on a sul...	4	0	0.41	1.0000	1
GO:0016701	oxidoreductase activity, acting on singl...	7	0	0.72	1.0000	1
GO:0016702	oxidoreductase activity, acting on singl...	5	0	0.51	1.0000	1
GO:0016721	oxidoreductase activity, acting on super...	3	0	0.31	1.0000	1
GO:0016765	transferase activity, transferring alkyl...	10	0	1.03	1.0000	1
GO:0016775	phosphotransferase activity, nitrogenous...	5	0	0.51	1.0000	1
GO:0016776	phosphotransferase activity, phosphate g...	3	0	0.31	1.0000	1
GO:0016831	carboxy-lyase activity	4	0	0.41	1.0000	1
GO:0016853	isomerase activity	10	0	1.03	1.0000	1
GO:0016860	intramolecular oxidoreductase activity	4	0	0.41	1.0000	1
GO:0016861	intramolecular oxidoreductase activity, ...	4	0	0.41	1.0000	1
GO:0016874	ligase activity	7	0	0.72	1.0000	1
GO:0016879	ligase activity, forming carbon-nitrogen...	4	0	0.41	1.0000	1
GO:0016903	oxidoreductase activity, acting on the a...	3	0	0.31	1.0000	1
GO:0019001	guanyl nucleotide binding	18	0	1.85	1.0000	1
GO:0019200	carbohydrate kinase activity	3	0	0.31	1.0000	1
GO:0019205	nucleobase-containing compound kinase ac...	3	0	0.31	1.0000	1
GO:0022804	active transmembrane transporter activit...	11	0	1.13	1.0000	1
GO:0022824	transmitter-gated ion channel activity	3	0	0.31	1.0000	1
GO:0022834	ligand-gated channel activity	3	0	0.31	1.0000	1
GO:0022835	transmitter-gated channel activity	3	0	0.31	1.0000	1
GO:0022853	active ion transmembrane transporter act...	9	0	0.93	1.0000	1
GO:0030234	enzyme regulator activity	23	0	2.37	1.0000	1
GO:0030414	peptidase inhibitor activity	6	0	0.62	1.0000	1
GO:0030594	neurotransmitter receptor activity	3	0	0.31	1.0000	1
GO:0030695	GTPase regulator activity	3	0	0.31	1.0000	1
GO:0031072	heat shock protein binding	5	0	0.51	1.0000	1
GO:0032561	guanyl ribonucleotide binding	18	0	1.85	1.0000	1
GO:0033764	steroid dehydrogenase activity, acting o...	7	0	0.72	1.0000	1
GO:0035091	phosphatidylinositol binding	4	0	0.41	1.0000	1
GO:0038023	signaling receptor activity	3	0	0.31	1.0000	1
GO:0046915	transition metal ion transmembrane trans...	5	0	0.51	1.0000	1
GO:0046982	protein heterodimerization activity	4	0	0.41	1.0000	1
GO:0047134	protein-disulfide reductase (NAD(P)) act...	3	0	0.31	1.0000	1
GO:0050145	nucleoside monophosphate kinase activity	3	0	0.31	1.0000	1
GO:0051213	dioxygenase activity	5	0	0.51	1.0000	1
GO:0060089	molecular transducer activity	3	0	0.31	1.0000	1
GO:0060589	nucleoside-triphosphatase regulator acti...	3	0	0.31	1.0000	1
GO:0061134	peptidase regulator activity	6	0	0.62	1.0000	1
GO:0061135	endopeptidase regulator activity	6	0	0.62	1.0000	1
GO:0098772	molecular function regulator activity	24	0	2.47	1.0000	1
GO:0140097	catalytic activity, acting on DNA	4	0	0.41	1.0000	1
GO:0140299	small molecule sensor activity	5	0	0.51	1.0000	1
GO:0140640	catalytic activity, acting on a nucleic ...	5	0	0.51	1.0000	1
GO:1901682	sulfur compound transmembrane transporte...	3	0	0.31	1.0000	1
